id,date,role,village_name,bh_use_num,tariff_costs_consider,tarrif_frequency,tariff_amount,total_money,tariff_hh_number,distance_to_spareparts,available_service_provider,preventive_mantainance,bh_functional,distance_to_spareparts_20_km_away,distance_to_spareparts_0_20_km_away,distance_to_spareparts_dont_know,distance_to_spareparts_within_community,tarrif_frequency_none,tarrif_frequency_per_2_months,tarrif_frequency_per_month,tarrif_frequency_per_quarter,tarrif_frequency_per_year,tarrif_frequency_when_required_for_repairs
137,2023-05-14,Hand pump borehole committee member,Chilawira,43,Maintenance costs,When required for repairs,0,120000,35,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,0,1
138,2023-05-14,Hand pump borehole committee member,Chilawira,35,Maintenance costs,When required for repairs,500,130000,28,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,0,1
139,2023-05-14,Head teacher / Teacher,Kaluli Chisiza,946,Affordability,Per quarter,500,250000,930,0-20 km away,0,1,1,0,1,0,0,0,0,0,1,0,0
140,2023-05-21,Hand pump borehole committee chair,Chambogho,21,Affordability,Per quarter,500,160000,19,Within community,0,0,1,0,0,0,1,0,0,0,1,0,0
141,2023-05-21,Hand pump borehole committee member,Chambogho,18,Affordability,When required for repairs,0,130000,16,Within community,0,1,1,0,0,0,1,0,0,0,0,0,1
142,2023-05-21,Hand pump borehole committee member,Chambogho,30,Affordability,When required for repairs,500,150000,25,Within community,0,0,0,0,0,0,1,0,0,0,0,0,1
143,2023-05-21,Hand pump borehole committee chair,Chambogho,30,Affordability,When required for repairs,500,130000,28,Within community,0,0,1,0,0,0,1,0,0,0,0,0,1
144,2023-05-21,Head teacher / Teacher,Chambogho,813,Affordability,When required for repairs,500,420000,790,Within community,0,0,1,0,0,0,1,0,0,0,0,0,1
145,2023-05-21,Hand pump borehole committee chair,Chambogho,29,Affordability,Per quarter,500,120000,27,Within community,0,1,1,0,0,0,1,0,0,0,1,0,0
146,2023-05-21,Hand pump borehole committee member,Chambogho,14,Affordability,When required for repairs,500,9000,12,Within community,0,1,1,0,0,0,1,0,0,0,0,0,1
147,2023-05-21,Hand pump borehole committee chair,Kachere,19,Affordability,When required for repairs,500,120000,17,Within community,0,0,1,0,0,0,1,0,0,0,0,0,1
148,2023-05-21,Head teacher / Teacher,Kachere,19,Affordability,Per year,1000,19000,17,Within community,0,0,1,0,0,0,1,0,0,0,0,1,0
149,2023-05-21,Head teacher / Teacher,Kachere,328,Affordability,Per year,500,17000000,325,Within community,0,0,1,0,0,0,1,0,0,0,0,1,0
150,2023-05-22,Hand pump borehole committee chair,Manganani,50,Maintenance costs,When required for repairs,500,150000,46,0-20 km away,0,1,1,0,1,0,0,0,0,0,0,0,1
151,2023-05-22,Hand pump borehole committee chair,Mugabe,45,Affordability,When required for repairs,500,130000,40,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,0,1
152,2023-05-22,Hand pump borehole committee member,Mugabe,20,Maintenance costs,When required for repairs,500,140000,18,0-20 km away,0,1,1,0,1,0,0,0,0,0,0,0,1
153,2023-05-22,Hand pump borehole committee member,Chimphinga,22,Maintenance costs,When required for repairs,0,75000,18,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,0,1
154,2023-05-22,Hand pump borehole committee member,Chimphinga,24,Affordability,Per 2 months,0,150000,19,0-20 km away,0,1,1,0,1,0,0,0,1,0,0,0,0
155,2023-05-22,Head teacher / Teacher,Chimphinga,825,No tarrif system set,None,0,0,0,0-20 km away,0,0,1,0,1,0,0,1,0,0,0,0,0
156,2023-05-22,Hand pump borehole committee member,Chimphinga,25,Maintenance costs,When required for repairs,500,90000,19,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,0,1
157,2023-05-22,Hand pump borehole committee member,Chimphinga,19,No tarrif system set,None,0,50000,15,0-20 km away,0,0,0,0,1,0,0,1,0,0,0,0,0
158,2023-05-22,Hand pump borehole committee member,Mugabe,55,Affordability,Per year,1000,120000,46,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,1,0
159,2023-05-22,Hand pump borehole committee member,Mugabe,19,Affordability,Per year,2000,130000,17,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,1,0
160,2023-05-22,Hand pump borehole committee chair,Mungombwa,15,Affordability,When required for repairs,500,60000,15,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,0,1
161,2023-05-22,Hand pump borehole committee chair,Mungombwa,15,Affordability,When required for repairs,500,80000,12,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,0,1
162,2023-05-22,Hand pump borehole committee member,Chizumba,25,Affordability,When required for repairs,500,130000,20,0-20 km away,0,1,1,0,1,0,0,0,0,0,0,0,1
163,2023-05-22,Hand pump borehole committee member,Chizumba,28,No tarrif system set,None,0,125000,0,0-20 km away,1,0,1,0,1,0,0,1,0,0,0,0,0
164,2023-05-22,Hand pump borehole committee member,Chizumba,24,Affordability,Per month,100,150000,19,0-20 km away,0,1,1,0,1,0,0,0,0,1,0,0,0
165,2023-05-22,Hand pump borehole committee chair,Wavikhazga,19,Affordability,When required for repairs,500,150000,17,Within community,0,1,1,0,0,0,1,0,0,0,0,0,1
166,2023-05-22,Hand pump borehole committee chair,Wavikhazga,21,Maintenance costs,When required for repairs,500,130000,17,Within community,0,0,1,0,0,0,1,0,0,0,0,0,1
167,2023-05-22,Hand pump borehole committee member,Chizumba,25,Affordability,Per year,1000,130000,20,Within community,0,1,1,0,0,0,1,0,0,0,0,1,0
168,2023-05-23,Hand pump borehole committee chair,Mponela,35,Affordability,Per year,1000,140000,30,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,1,0
169,2023-05-23,Hand pump borehole committee chair,Mponela,1591,Affordability,Per year,500,550000,1509,0-20 km away,0,0,1,0,1,0,0,0,0,0,0,1,0
170,2023-05-23,Hand pump borehole committee member,Mugoyera,35,Maintenance costs,When required for repairs,1000,130000,30,0-20 km away,0,1,1,0,1,0,0,0,0,0,0,0,1
